日付,球場,ホーム球団,ビジター球団,ホーム得点,ビジター得点,ホーム安打,ビジター安打,ホーム失策,ビジター失策,ホームラン数（ホーム）,ホームラン数（ビジター）,イニング別得点（ホーム(ビジター)）,観客動員数,URL
2026年4月16日（木）,北九州,福岡ソフトバンクホークスソフトバンク,東北楽天ゴールデンイーグルス楽天,6,0,7,5,0,0,0,0,"3(0),1(0),1(0),0(0),0(0),0(0),1(0),0(0),x(0)",19288,https://npb.jp/scores/2026/0416/h-e-06/
2026年4月16日（木）,ZOZOマリン,千葉ロッテマリーンズロッテ,北海道日本ハムファイターズ日本ハム,5,3,11,7,0,5,0,0,"0(0),0(0),3(2),0(1),0(0),1(0),1(0),0(0),x(0)",25125,https://npb.jp/scores/2026/0416/m-f-06/
2026年4月16日（木）,神　宮,東京ヤクルトスワローズヤクルト,横浜DeNAベイスターズDeNA,2,0,10,5,0,1,0,0,"0(0),1(0),1(0),0(0),0(0),0(0),0(0),0(0),x(0)",28678,https://npb.jp/scores/2026/0416/s-db-05/
2026年4月16日（木）,甲子園,阪神タイガース阪神,読売ジャイアンツ巨人,3,4,8,9,2,0,0,0,"2(3),0(0),0(1),0(0),1(0),0(0),0(0),0(0),0(0)",42601,https://npb.jp/scores/2026/0416/t-g-05/
2026年4月17日（金）,マツダスタジアム,広島東洋カープ広島,横浜DeNAベイスターズDeNA,1,5,3,8,0,0,0,0,"0(1),1(0),0(0),0(0),0(0),0(3),0(1),0(0),0(0)",23528,https://npb.jp/scores/2026/0417/c-db-03/
2026年4月17日（金）,楽天モバイル,東北楽天ゴールデンイーグルス楽天,千葉ロッテマリーンズロッテ,1,0,8,5,0,2,0,0,"0(0),0(0),0(0),0(0),0(0),0(0),0(0),0(0),0(0)",24265,https://npb.jp/scores/2026/0417/e-m-01/
2026年4月17日（金）,エスコンＦ,北海道日本ハムファイターズ日本ハム,埼玉西武ライオンズ西武,3,5,4,9,0,0,0,0,"2(1),0(0),0(0),1(0),0(1),0(0),0(2),0(1),0(0)",29615,https://npb.jp/scores/2026/0417/f-l-01/
2026年4月17日（金）,みずほPayPay,福岡ソフトバンクホークスソフトバンク,オリックス・バファローズオリックス,4,13,8,18,0,0,0,0,"1(2),0(5),0(0),1(0),0(2),0(0),0(0),2(3),0(1)",39602,https://npb.jp/scores/2026/0417/h-b-01/
2026年4月17日（金）,神　宮,東京ヤクルトスワローズヤクルト,読売ジャイアンツ巨人,2,8,6,12,0,0,0,0,"0(4),0(0),0(3),0(0),0(0),0(0),0(0),0(0),2(1)",28406,https://npb.jp/scores/2026/0417/s-g-04/
2026年4月17日（金）,甲子園,阪神タイガース阪神,中日ドラゴンズ中日,2,1,9,6,0,0,0,0,"0(1),0(0),0(0),0(0),0(0),1(0),1(0),0(0),x(0)",42607,https://npb.jp/scores/2026/0417/t-d-04/
2026年4月18日（土）,マツダスタジアム,広島東洋カープ広島,横浜DeNAベイスターズDeNA,2,7,7,9,0,0,0,0,"0(0),0(1),0(0),0(0),0(0),0(0),1(6),0(0),1(0)",31141,https://npb.jp/scores/2026/0418/c-db-04/
2026年4月18日（土）,楽天モバイル,東北楽天ゴールデンイーグルス楽天,千葉ロッテマリーンズロッテ,9,1,13,8,0,0,0,0,"0(0),0(0),4(0),0(1),3(0),0(0),2(0),0(0),x(0)",24046,https://npb.jp/scores/2026/0418/e-m-02/
2026年4月18日（土）,エスコンＦ,北海道日本ハムファイターズ日本ハム,埼玉西武ライオンズ西武,5,3,8,11,0,1,0,0,"0(0),0(0),0(0),0(0),0(0),5(2),0(0),0(0),x(1)",30951,https://npb.jp/scores/2026/0418/f-l-02/
2026年4月18日（土）,みずほPayPay,福岡ソフトバンクホークスソフトバンク,オリックス・バファローズオリックス,7,0,11,1,2,0,0,0,"2(0),0(0),0(0),0(0),0(0),0(0),5(0),0(0),x(0)",40122,https://npb.jp/scores/2026/0418/h-b-02/
2026年4月18日（土）,神　宮,東京ヤクルトスワローズヤクルト,読売ジャイアンツ巨人,4,3,10,6,0,1,0,0,"0(0),0(0),1(1),0(1),0(0),0(1),1(0),0(0),2x(0)",29316,https://npb.jp/scores/2026/0418/s-g-05/
2026年4月18日（土）,甲子園,阪神タイガース阪神,中日ドラゴンズ中日,4,3,8,11,0,0,0,0,"0(0),0(0),1(0),1(2),0(0),0(1),2(0),0(0),x(0)",42609,https://npb.jp/scores/2026/0418/t-d-05/
2026年4月19日（日）,マツダスタジアム,広島東洋カープ広島,横浜DeNAベイスターズDeNA,0,2,8,7,0,0,0,0,"0(0),0(0),0(1),0(0),0(0),0(1),0(0),0(0),0(0)",30814,https://npb.jp/scores/2026/0419/c-db-05/
