年度,日付,曜日,週末/祝日,球場,試合時間,ホーム球団,ビジター球団,ホーム得点,ビジター得点,ホーム安打,ビジター安打,ホーム失策,ビジター失策,ホームラン_ホーム,ホームラン_ビジター,ホームラン合計,HR詳細_ホーム,HR詳細_ビジター,ホーム勝利,得点差,逆転あり,サヨナラ,延長戦,リード変化回数,最終得点イニング,イニング別得点,勝利投手,敗戦投手,セーブ投手,URL
2022,2022年6月22日（水）,水,0,京セラD大阪,2時間33分,オリックス・バファローズ,福岡ソフトバンクホークス,5,0,10,4,0,0,1,0,1,杉本8号（6回3ラン東浜）,,1,5,0,1,0,0,7,"0(0),0(0),0(0),0(0),0(0),3(0),2(0),0(0),x(0)",田嶋（3勝3敗）,東浜（6勝2敗）,,https://npb.jp/scores/2022/0622/b-h-11/
2022,2022年6月22日（水）,水,0,マツダスタジアム,3時間56分,広島東洋カープ,阪神タイガース,5,4,14,10,1,1,2,0,2,坂倉5号（10回ソロアルカンタラ）、宇草1号（11回ソロアルカンタラ）,,1,1,0,0,1,0,10,"0(0),1(0),1(1),0(0),1(1),0(0),0(1),0(0),0(0),1(1),1x(0)",松本（1勝1敗）,アルカンタラ（1勝2敗）,,https://npb.jp/scores/2022/0622/c-t-10/
2022,2022年6月22日（水）,水,0,バンテリンドーム,3時間13分,中日ドラゴンズ,東京ヤクルトスワローズ,3,7,8,12,1,0,0,1,1,,濱田6号（6回2ラン祖父江）,0,4,0,0,0,0,7,"0(3),1(0),0(0),0(0),2(0),0(2),0(2),0(0),0(0)",原（5勝3敗）,祖父江（2勝3敗）,,https://npb.jp/scores/2022/0622/d-s-10/
2022,2022年6月22日（水）,水,0,盛　岡,3時間13分,東北楽天ゴールデンイーグルス,北海道日本ハムファイターズ,6,3,11,6,0,3,2,1,3,浅村12号（4回ソロ加藤）、島内4号（9回3ラン鈴木）,松本剛3号（3回2ラン岸）,1,3,1,0,0,1,8,"0(0),0(0),1(2),2(0),0(0),0(0),0(0),0(1),3x(0)",西口（2勝0敗）,北山（3勝5敗）,,https://npb.jp/scores/2022/0622/e-f-11/
2022,2022年6月22日（水）,水,0,東京ドーム,2時間58分,読売ジャイアンツ,横浜DeNAベイスターズ,5,4,9,7,0,0,3,2,5,岡本和19号（1回2ラン石田）、吉川3号（3回ソロ石田）、ウォーカー15号（7回ソロ伊勢）,嶺井2号（2回ソロメルセデス）、佐野7号（3回ソロメルセデス）,1,1,0,1,0,0,7,"3(1),0(1),1(1),0(0),0(1),0(0),1(0),0(0),x(0)",今村（1勝2敗）,伊勢（1勝1敗）,大勢（22セ）,https://npb.jp/scores/2022/0622/g-db-09/
2022,2022年6月22日（水）,水,0,ZOZOマリン,3時間,千葉ロッテマリーンズ,埼玉西武ライオンズ,2,1,7,7,0,0,0,0,0,,,1,1,0,1,0,0,9,"0(0),0(0),0(0),1(0),0(0),0(0),0(0),1(0),x(1)",佐々木朗（6勝1敗）,エンス（4勝4敗）,益田（17セ）,https://npb.jp/scores/2022/0622/m-l-10/
2022,2022年6月23日（木）,木,0,マツダスタジアム,4時間52分,広島東洋カープ,阪神タイガース,3,3,10,10,1,0,1,0,1,堂林4号（7回ソロ岩貞）,,0,0,1,0,1,1,9,"0(2),0(0),0(0),0(0),2(0),0(0),1(0),0(0),0(1),0(0),0(0),0(0)",,,,https://npb.jp/scores/2022/0623/c-t-11/
2022,2022年6月23日（木）,木,0,バンテリンドーム,3時間5分,中日ドラゴンズ,東京ヤクルトスワローズ,0,10,6,14,0,0,0,2,2,,村上22号（1回満塁岡野）、村上23号（8回2ラン祖父江）,0,10,0,0,0,0,8,"0(4),0(0),0(0),0(3),0(0),0(0),0(1),0(2),0(0)",高梨（5勝3敗）,岡野（1勝3敗）,,https://npb.jp/scores/2022/0623/d-s-11/
2022,2022年6月23日（木）,木,0,東京ドーム,3時間25分,読売ジャイアンツ,横浜DeNAベイスターズ,5,7,12,16,0,0,1,2,3,中田6号（6回2ランクリスキー）,佐野8号（1回ソロ赤星）、森1号（6回2ラン戸田）,0,2,0,0,0,0,7,"0(1),0(2),0(0),0(2),0(0),4(2),1(0),0(0),0(0)",東（1勝5敗）,赤星（3勝4敗）,山﨑（14セ）,https://npb.jp/scores/2022/0623/g-db-10/
2022,2022年6月24日（金）,金,0,横　浜,2時間41分,横浜DeNAベイスターズ,広島東洋カープ,0,7,6,13,1,0,0,3,3,,菊池涼3号（3回2ラン今永）、中村健2号（4回ソロ今永）、坂倉6号（9回ソロ三上）,0,7,0,0,0,0,9,"0(2),0(0),0(2),0(1),0(0),0(0),0(1),0(0),0(1)",大瀬良（6勝4敗）,今永（3勝2敗）,,https://npb.jp/scores/2022/0624/db-c-10/
2022,2022年6月24日（金）,金,0,楽天生命パーク,3時間27分,東北楽天ゴールデンイーグルス,埼玉西武ライオンズ,3,4,10,6,1,1,0,2,2,,山川22号（4回ソロ田中将）、川越1号（6回ソロ田中将）,0,1,1,0,0,1,6,"1(0),1(0),0(2),0(1),0(0),1(1),0(0),0(0),0(0)",髙橋光成（6勝6敗）,田中将（4勝7敗）,増田（19セ）,https://npb.jp/scores/2022/0624/e-l-09/
2022,2022年6月24日（金）,金,0,PayPayドーム,3時間17分,福岡ソフトバンクホークス,北海道日本ハムファイターズ,5,1,10,4,0,0,1,1,2,柳田10号（1回2ラン上沢）,淺間4号（2回ソロ千賀）,1,4,0,1,0,0,6,"2(0),1(1),0(0),1(0),0(0),1(0),0(0),0(0),x(0)",千賀（6勝3敗）,上沢（4勝5敗）,,https://npb.jp/scores/2022/0624/h-f-10/
2022,2022年6月24日（金）,金,0,ZOZOマリン,2時間56分,千葉ロッテマリーンズ,オリックス・バファローズ,0,5,4,9,1,0,0,1,1,,吉田正5号（9回2ラン八木）,0,5,0,0,0,0,9,"0(0),0(1),0(0),0(0),0(0),0(2),0(0),0(0),0(2)",山岡（5勝3敗）,本前（2勝1敗）,,https://npb.jp/scores/2022/0624/m-b-10/
2022,2022年6月24日（金）,金,0,神　宮,3時間26分,東京ヤクルトスワローズ,読売ジャイアンツ,16,6,19,12,0,2,5,1,6,中村1号（1回3ラン菅野）、中村2号（3回2ラン菅野）、村上24号（6回2ラン桜井）、村上25号（7回2ラン戸田）、長岡3号（8回ソロ鍵谷）,岡本和20号（9回2ラン大西）,1,10,0,1,0,0,9,"4(0),0(0),3(1),0(0),0(0),4(1),4(1),1(1),x(2)",高橋（6勝1敗）,菅野（6勝5敗）,,https://npb.jp/scores/2022/0624/s-g-10/
2022,2022年6月24日（金）,金,0,甲子園,3時間32分,阪神タイガース,中日ドラゴンズ,6,4,11,11,1,1,0,0,0,,,1,2,0,1,0,0,8,"0(0),2(0),0(2),0(0),0(0),2(0),0(0),2(2),x(0)",湯浅（1勝2敗）,清水（3勝2敗）,岩崎（14セ）,https://npb.jp/scores/2022/0624/t-d-09/
2022,2022年6月25日（土）,土,1,横　浜,3時間35分,横浜DeNAベイスターズ,広島東洋カープ,4,5,11,11,0,1,0,0,0,,,0,1,1,0,0,1,7,"0(0),2(0),1(5),0(0),0(0),0(0),1(0),0(0),0(0)",森下（5勝5敗）,濵口（2勝3敗）,栗林（15セ）,https://npb.jp/scores/2022/0625/db-c-11/
2022,2022年6月25日（土）,土,1,楽天生命パーク,2時間46分,東北楽天ゴールデンイーグルス,埼玉西武ライオンズ,0,2,3,4,0,0,0,1,1,,ジャンセン・ウィティ1号（7回2ラン辛島）,0,2,0,0,0,0,7,"0(0),0(0),0(0),0(0),0(0),0(0),0(2),0(0),0(0)",平井（4勝4敗）,辛島（2勝1敗）,増田（20セ）,https://npb.jp/scores/2022/0625/e-l-10/
2022,2022年6月25日（土）,土,1,PayPayドーム,2時間47分,福岡ソフトバンクホークス,北海道日本ハムファイターズ,3,0,8,4,0,0,1,0,1,牧原大5号（8回ソロ河野）,,1,3,0,1,0,0,8,"0(0),0(0),0(0),2(0),0(0),0(0),0(0),1(0),x(0)",大関（5勝3敗）,伊藤（5勝6敗）,,https://npb.jp/scores/2022/0625/h-f-11/
2022,2022年6月25日（土）,土,1,ZOZOマリン,2時間51分,千葉ロッテマリーンズ,オリックス・バファローズ,0,4,5,14,0,0,0,1,1,,吉田正6号（7回ソロ八木）,0,4,0,0,0,0,7,"0(1),0(1),0(0),0(1),0(0),0(0),0(1),0(0),0(0)",山本（8勝3敗）,佐藤奨（1勝4敗）,平野佳（19セ）,https://npb.jp/scores/2022/0625/m-b-11/
2022,2022年6月25日（土）,土,1,神　宮,3時間34分,東京ヤクルトスワローズ,読売ジャイアンツ,5,19,9,19,1,0,2,6,8,青木3号（4回2ランシューメーカー）、オスナ7号（9回ソロ戸根）,増田陸3号（2回ソロサイスニード）、ポランコ9号（3回ソロサイスニード）、ウォーカー16号（5回ソロサイスニード）、丸14号（6回2ラン坂本）、ポランコ10号（6回3ラン坂本）、湯浅1号（7回2ラン坂本）,0,14,0,0,0,0,9,"0(4),0(1),0(1),2(0),0(1),2(5),0(3),0(0),1(4)",シューメーカー（4勝4敗）,サイスニード（4勝2敗）,,https://npb.jp/scores/2022/0625/s-g-11/
2022,2022年6月25日（土）,土,1,甲子園,3時間21分,阪神タイガース,中日ドラゴンズ,10,0,14,9,2,1,0,0,0,,,1,10,0,1,0,0,6,"1(0),3(0),1(0),4(0),0(0),1(0),0(0),0(0),x(0)",伊藤将（4勝2敗）,福谷（1勝3敗）,,https://npb.jp/scores/2022/0625/t-d-10/
2022,2022年6月26日（日）,日,1,横　浜,4時間20分,横浜DeNAベイスターズ,広島東洋カープ,3,4,11,12,0,0,0,0,0,,,0,1,1,0,1,1,12,"1(0),0(0),0(0),0(0),0(0),0(2),0(0),1(1),1(0),0(0),0(0),0(1)",ターリー（1勝1敗）,平田（0勝2敗）,矢崎（1セ）,https://npb.jp/scores/2022/0626/db-c-12/
2022,2022年6月26日（日）,日,1,楽天生命パーク,2時間54分,東北楽天ゴールデンイーグルス,埼玉西武ライオンズ,0,2,5,9,2,0,0,2,2,,山川23号（4回ソロ早川）、山川24号（6回ソロ早川）,0,2,0,0,0,0,6,"0(0),0(0),0(0),0(1),0(0),0(1),0(0),0(0),0(0)",與座（5勝2敗）,早川（4勝5敗）,森脇（1セ）,https://npb.jp/scores/2022/0626/e-l-11/
2022,2022年6月26日（日）,日,1,PayPayドーム,3時間57分,福岡ソフトバンクホークス,北海道日本ハムファイターズ,2,3,5,7,2,1,0,2,2,,ヌニエス3号（5回ソロレイ）、上川畑1号（8回ソロ又吉）,0,1,1,0,1,1,10,"0(0),1(0),0(0),0(0),0(1),1(0),0(0),0(1),0(0),0(1)",鈴木（1勝0敗）,津森（4勝4敗）,堀（1セ）,https://npb.jp/scores/2022/0626/h-f-12/
2022,2022年6月26日（日）,日,1,ZOZOマリン,3時間46分,千葉ロッテマリーンズ,オリックス・バファローズ,3,2,7,4,0,0,0,0,0,,,1,1,0,0,1,0,6,"0(0),1(0),0(0),0(0),1(0),0(2),0(0),0(0),0(0),0(0),1x(0)",オスナ（1勝0敗）,ワゲスパック（1勝4敗）,,https://npb.jp/scores/2022/0626/m-b-12/
2022,2022年6月26日（日）,日,1,神　宮,4時間2分,東京ヤクルトスワローズ,読売ジャイアンツ,11,10,14,14,1,2,2,2,4,長岡4号（3回3ラン今村）、村上26号（8回3ラン平内）,中田7号（6回ソロ小澤）、丸15号（6回ソロ小澤）,1,1,1,1,0,1,9,"1(3),0(0),6(2),0(0),0(0),0(2),1(1),3(0),x(2)",清水（3勝1敗）,平内（3勝2敗）,マクガフ（22セ）,https://npb.jp/scores/2022/0626/s-g-12/
2022,2022年6月26日（日）,日,1,甲子園,4時間16分,阪神タイガース,中日ドラゴンズ,6,5,15,15,1,1,0,0,0,,,1,1,1,0,1,1,8,"3(0),0(0),0(0),0(3),0(1),0(0),0(1),2(0),0(0),0(0),1x(0)",渡邉（3勝1敗）,福（0勝2敗）,,https://npb.jp/scores/2022/0626/t-d-11/
2022,2022年6月27日（月）,月,0,東京ドーム,3時間13分,福岡ソフトバンクホークス,千葉ロッテマリーンズ,1,8,9,11,0,0,0,2,2,,レアード12号（3回3ラン大竹耕）、中村奨5号（8回ソロ椎野）,0,7,0,0,0,0,9,"0(0),0(0),0(4),0(0),0(0),0(0),0(0),1(1),0(3)",ロメロ（6勝4敗）,大竹耕（0勝1敗）,,https://npb.jp/scores/2022/0627/h-m-12/
2022,2022年6月28日（火）,火,0,ほっと神戸,3時間6分,オリックス・バファローズ,東北楽天ゴールデンイーグルス,2,4,11,10,0,1,1,2,3,安達1号（9回ソロ松井裕）,鈴木大2号（9回ソロ黒木）、浅村13号（9回ソロ黒木）,0,2,0,0,0,0,9,"0(0),0(1),0(1),0(0),0(0),0(0),0(0),1(0),1(2)",則本（6勝2敗）,宮城（6勝4敗）,松井裕（18セ）,https://npb.jp/scores/2022/0628/b-e-10/
2022,2022年6月28日（火）,火,0,マツダスタジアム,3時間14分,広島東洋カープ,東京ヤクルトスワローズ,3,6,11,8,0,0,0,2,2,,村上27号（6回3ラン床田）、オスナ8号（8回ソロ松本）,0,3,1,0,0,1,8,"0(0),0(0),0(0),3(0),0(0),0(4),0(1),0(1),0(0)",小川（5勝3敗）,床田（7勝4敗）,マクガフ（23セ）,https://npb.jp/scores/2022/0628/c-s-10/
2022,2022年6月28日（火）,火,0,横　浜,2時間58分,横浜DeNAベイスターズ,阪神タイガース,6,2,7,6,2,1,1,0,1,ソト6号（5回ソロ西勇）,,1,4,1,1,0,1,6,"0(2),0(0),2(0),0(0),1(0),3(0),0(0),0(0),x(0)",大貫（5勝3敗）,西勇（4勝6敗）,,https://npb.jp/scores/2022/0628/db-t-11/
2022,2022年6月28日（火）,火,0,山　形,3時間23分,読売ジャイアンツ,中日ドラゴンズ,6,2,9,10,0,0,1,1,2,丸16号（5回2ラン小笠原）,京田3号（3回ソロ髙橋）,1,4,0,1,0,0,7,"1(0),0(0),0(1),0(0),2(0),0(1),3(0),0(0),x(0)",桜井（1勝0敗）,小笠原（3勝5敗）,,https://npb.jp/scores/2022/0628/g-d-13/
2022,2022年6月28日（火）,火,0,ベルーナドーム,3時間22分,埼玉西武ライオンズ,北海道日本ハムファイターズ,5,2,9,7,0,0,1,0,1,栗山2号（8回2ラン鈴木）,,1,3,0,1,0,0,8,"3(0),0(1),0(1),0(0),0(0),0(0),0(0),2(0),x(0)",松本（5勝2敗）,上原（2勝2敗）,増田（21セ）,https://npb.jp/scores/2022/0628/l-f-12/
2022,2022年6月29日（水）,水,0,ほっと神戸,3時間9分,オリックス・バファローズ,東北楽天ゴールデンイーグルス,6,1,10,9,0,0,1,0,1,吉田正7号（4回2ラン岸）,,1,5,1,1,0,1,7,"0(0),0(1),0(0),2(0),3(0),0(0),1(0),0(0),x(0)",田嶋（4勝3敗）,岸（5勝3敗）,,https://npb.jp/scores/2022/0629/b-e-11/
2022,2022年6月29日（水）,水,0,マツダスタジアム,3時間17分,広島東洋カープ,東京ヤクルトスワローズ,2,9,11,16,2,0,1,3,4,坂倉7号（7回ソロ梅野）,山田15号（4回ソロ遠藤）、村上28号（8回2ラン菊池保）、村上29号（9回2ラン松本）,0,7,0,0,0,0,9,"0(0),0(0),0(0),0(2),0(0),0(0),1(1),0(2),1(4)",原（6勝3敗）,遠藤（3勝5敗）,,https://npb.jp/scores/2022/0629/c-s-11/
2022,2022年6月29日（水）,水,0,横　浜,2時間44分,横浜DeNAベイスターズ,阪神タイガース,4,2,5,10,2,2,1,1,2,佐野9号（1回2ランガンケル）,山本2号（2回ソロ石田）,1,2,0,1,0,0,4,"2(1),0(1),0(0),2(0),0(0),0(0),0(0),0(0),x(0)",石田（2勝1敗）,ガンケル（3勝5敗）,山﨑（15セ）,https://npb.jp/scores/2022/0629/db-t-12/
2022,2022年6月29日（水）,水,0,郡　山,4時間12分,読売ジャイアンツ,中日ドラゴンズ,2,3,8,13,0,1,0,0,0,,,0,1,1,0,1,2,10,"0(1),1(0),1(0),0(0),0(1),0(0),0(0),0(0),0(0),0(1)",R.マルティネス（2勝1敗）,鍬原（1勝1敗）,谷元（1セ）,https://npb.jp/scores/2022/0629/g-d-14/
2022,2022年6月29日（水）,水,0,ベルーナドーム,2時間37分,埼玉西武ライオンズ,北海道日本ハムファイターズ,6,2,8,3,0,0,1,1,2,外崎4号（8回ソロ柿木）,上川畑2号（9回ソロ宮川）,1,4,0,1,0,0,9,"2(0),0(0),1(0),0(0),0(0),2(1),0(0),1(0),x(1)",エンス（5勝4敗）,吉田（1勝3敗）,,https://npb.jp/scores/2022/0629/l-f-13/
2022,2022年6月30日（木）,木,0,マツダスタジアム,3時間59分,広島東洋カープ,東京ヤクルトスワローズ,2,4,7,9,2,1,1,1,2,小園3号（6回ソロ石川）,長岡5号（3回ソロアンダーソン）,0,2,0,0,1,0,12,"0(0),0(0),0(1),0(0),0(0),1(0),0(0),0(0),0(0),1(1),0(0),0(2)",清水（4勝1敗）,中﨑（1勝5敗）,田口（1セ）,https://npb.jp/scores/2022/0630/c-s-12/
2022,2022年6月30日（木）,木,0,横　浜,3時間59分,横浜DeNAベイスターズ,阪神タイガース,6,5,13,11,1,1,0,1,1,,佐藤輝14号（7回ソロエスコバー）,1,1,1,0,0,1,8,"4(0),0(0),0(0),0(0),0(2),0(1),0(1),0(1),2x(0)",平田（1勝2敗）,岩崎（1勝3敗）,,https://npb.jp/scores/2022/0630/db-t-13/
2022,2022年7月1日（金）,金,0,マツダスタジアム,3時間30分,広島東洋カープ,読売ジャイアンツ,5,3,9,8,1,0,1,0,1,マクブルーム8号（5回2ランシューメーカー）,,1,2,0,1,0,0,6,"2(0),0(1),0(0),1(0),2(0),0(2),0(0),0(0),x(0)",大瀬良（7勝4敗）,シューメーカー（4勝5敗）,栗林（16セ）,https://npb.jp/scores/2022/0701/c-g-13/
2022,2022年7月1日（金）,金,0,バンテリンドーム,3時間20分,中日ドラゴンズ,阪神タイガース,3,1,6,6,1,0,2,0,2,山下1号（3回ソロ青柳）、A.マルティネス7号（8回2ラン湯浅）,,1,2,0,1,0,0,8,"0(0),0(0),1(0),0(0),0(0),0(0),0(0),2(1),x(0)",ロドリゲス（4勝2敗）,湯浅（1勝3敗）,R.マルティネス（17セ）,https://npb.jp/scores/2022/0701/d-t-12/
2022,2022年7月1日（金）,金,0,札幌ドーム,2時間56分,北海道日本ハムファイターズ,オリックス・バファローズ,2,1,4,9,0,2,0,0,0,,,1,1,0,1,0,0,7,"0(0),1(0),0(0),1(0),0(0),0(0),0(1),0(0),x(0)",上沢（5勝5敗）,山岡（5勝4敗）,石川直（1セ）,https://npb.jp/scores/2022/0701/f-b-11/
2022,2022年7月1日（金）,金,0,ZOZOマリン,3時間34分,千葉ロッテマリーンズ,東北楽天ゴールデンイーグルス,6,4,10,10,0,0,1,2,3,佐藤都3号（8回ソロ宋家豪）,島内5号（5回3ラン小沼）、島内6号（7回ソロ東條）,1,2,1,1,0,2,8,"1(0),0(0),0(0),1(0),0(3),0(0),2(1),2(0),x(0)",ゲレーロ（2勝2敗）,宋家豪（3勝2敗）,益田（18セ）,https://npb.jp/scores/2022/0701/m-e-12/
2022,2022年7月1日（金）,金,0,神　宮,3時間8分,東京ヤクルトスワローズ,横浜DeNAベイスターズ,4,6,9,11,0,0,1,2,3,オスナ9号（2回ソロ今永）,佐野10号（1回ソロ高梨）、ソト7号（2回2ラン高梨）,0,2,0,0,0,0,9,"0(1),1(2),2(0),0(1),1(1),0(0),0(0),0(0),0(1)",今永（4勝2敗）,高梨（5勝4敗）,山﨑（16セ）,https://npb.jp/scores/2022/0701/s-db-10/
2022,2022年7月2日（土）,土,1,マツダスタジアム,2時間55分,広島東洋カープ,読売ジャイアンツ,2,0,8,5,0,0,1,0,1,マクブルーム9号（9回2ラン平内）,,1,2,0,0,0,0,0,"0(0),0(0),0(0),0(0),0(0),0(0),0(0),0(0),2x(0)",ケムナ（2勝0敗）,平内（3勝3敗）,,https://npb.jp/scores/2022/0702/c-g-14/
2022,2022年7月2日（土）,土,1,バンテリンドーム,3時間4分,中日ドラゴンズ,阪神タイガース,2,5,9,7,0,2,0,0,0,,,0,3,0,0,0,0,8,"0(0),0(0),0(4),0(0),0(0),0(0),2(0),0(1),0(0)",伊藤将（5勝2敗）,松葉（3勝3敗）,岩崎（15セ）,https://npb.jp/scores/2022/0702/d-t-13/
2022,2022年7月2日（土）,土,1,札幌ドーム,2時間39分,北海道日本ハムファイターズ,オリックス・バファローズ,5,0,9,5,0,0,1,0,1,宇佐見4号（7回ソロ山本）,,1,5,0,1,0,0,7,"1(0),0(0),0(0),0(0),0(0),2(0),2(0),0(0),x(0)",伊藤（6勝6敗）,山本（8勝4敗）,,https://npb.jp/scores/2022/0702/f-b-12/
2022,2022年7月2日（土）,土,1,ベルーナドーム,3時間13分,埼玉西武ライオンズ,福岡ソフトバンクホークス,2,3,6,9,0,0,1,0,1,源田1号（8回ソロ又吉）,,0,1,1,0,0,2,9,"0(1),0(0),1(0),0(0),0(0),0(0),0(0),1(0),0(2)",又吉（3勝3敗）,増田（1勝1敗）,モイネロ（11セ）,https://npb.jp/scores/2022/0702/l-h-10/
2022,2022年7月2日（土）,土,1,ZOZOマリン,3時間9分,千葉ロッテマリーンズ,東北楽天ゴールデンイーグルス,3,1,4,5,0,1,0,0,0,,,1,2,1,1,0,1,8,"0(0),0(1),0(0),0(0),1(0),0(0),0(0),2(0),x(0)",オスナ（2勝0敗）,鈴木翔（0勝1敗）,益田（19セ）,https://npb.jp/scores/2022/0702/m-e-13/
2022,2022年7月2日（土）,土,1,神　宮,3時間8分,東京ヤクルトスワローズ,横浜DeNAベイスターズ,2,1,9,6,0,0,0,1,1,,大田5号（7回ソロサイスニード）,1,1,1,0,1,0,8,"0(0),0(0),0(0),0(0),0(0),0(0),0(1),1(0),0(0),1x(0)",清水（5勝1敗）,伊勢（1勝2敗）,,https://npb.jp/scores/2022/0702/s-db-11/
2022,2022年7月3日（日）,日,1,マツダスタジアム,3時間30分,広島東洋カープ,読売ジャイアンツ,5,7,8,12,1,2,0,4,4,,大城4号（5回ソロ九里）、坂本4号（6回ソロケムナ）、坂本5号（7回2ラン矢崎）、丸17号（9回ソロターリー）,0,2,1,0,0,1,9,"0(0),0(0),0(0),3(0),0(1),0(2),2(2),0(1),0(1)",高梨（2勝0敗）,森浦（0勝1敗）,大勢（23セ）,https://npb.jp/scores/2022/0703/c-g-15/
2022,2022年7月3日（日）,日,1,バンテリンドーム,2時間47分,中日ドラゴンズ,阪神タイガース,0,3,8,5,0,0,0,2,2,,大山19号（2回2ラン柳）、中野4号（3回ソロ柳）,0,3,0,0,0,0,3,"0(0),0(2),0(1),0(0),0(0),0(0),0(0),0(0),0(0)",才木（1勝0敗）,柳（5勝6敗）,岩崎（16セ）,https://npb.jp/scores/2022/0703/d-t-14/
2022,2022年7月3日（日）,日,1,札幌ドーム,3時間31分,北海道日本ハムファイターズ,オリックス・バファローズ,3,7,7,10,0,0,1,0,1,清宮8号（7回ソロ近藤）,,0,4,0,0,0,0,9,"0(3),0(0),2(0),0(0),0(0),0(0),1(1),0(0),0(3)",黒木（1勝2敗）,杉浦（3勝6敗）,,https://npb.jp/scores/2022/0703/f-b-13/
2022,2022年7月3日（日）,日,1,ベルーナドーム,2時間23分,埼玉西武ライオンズ,福岡ソフトバンクホークス,0,3,1,6,0,0,0,1,1,,周東3号（1回ソロ與座）,0,3,0,0,0,0,3,"0(1),0(0),0(2),0(0),0(0),0(0),0(0),0(0),0(0)",石川（3勝3敗）,與座（5勝3敗）,,https://npb.jp/scores/2022/0703/l-h-11/
2022,2022年7月3日（日）,日,1,ZOZOマリン,3時間28分,千葉ロッテマリーンズ,東北楽天ゴールデンイーグルス,1,14,7,21,0,0,1,0,1,岡5号（7回ソロ早川）,,0,13,0,0,0,0,9,"0(1),0(0),0(1),0(0),0(5),0(3),1(1),0(0),0(3)",早川（5勝5敗）,美馬（4勝5敗）,,https://npb.jp/scores/2022/0703/m-e-14/
2022,2022年7月3日（日）,日,1,神　宮,3時間34分,東京ヤクルトスワローズ,横浜DeNAベイスターズ,11,4,14,13,0,0,4,0,4,中村3号（1回2ラン京山）、青木4号（4回ソロクリスキー）、中村4号（6回2ラン三上）、丸山和1号（7回ソロ平田）,,1,7,0,1,0,0,9,"5(0),1(1),0(0),1(0),1(2),2(0),1(0),0(0),x(1)",小澤（1勝0敗）,京山（0勝1敗）,,https://npb.jp/scores/2022/0703/s-db-12/
2022,2022年7月5日（火）,火,0,京セラD大阪,4時間9分,オリックス・バファローズ,埼玉西武ライオンズ,4,5,10,13,0,1,1,3,4,杉本9号（2回ソロ松本）,オグレディ9号（7回2ラン宮城）、森2号（8回ソロ本田）、愛斗5号（12回ソロビドル）,0,1,1,0,1,1,12,"0(0),1(0),0(0),0(0),0(0),0(0),2(3),1(1),0(0),0(0),0(0),0(1)",本田（3勝1敗）,ビドル（3勝4敗）,宮川（1セ）,https://npb.jp/scores/2022/0705/b-l-13/
2022,2022年7月5日（火）,火,0,弘　前,3時間21分,東北楽天ゴールデンイーグルス,福岡ソフトバンクホークス,2,6,2,10,0,1,0,1,1,,渡邉3号（4回2ラン則本）,0,4,0,0,0,0,6,"0(0),0(0),0(4),0(2),1(0),1(0),0(0),0(0),0(0)",大関（6勝3敗）,則本（6勝3敗）,,https://npb.jp/scores/2022/0705/e-h-09/
2022,2022年7月5日（火）,火,0,東京ドーム,2時間53分,読売ジャイアンツ,東京ヤクルトスワローズ,4,1,9,6,0,0,1,0,1,大城5号（4回ソロ高橋）,,1,3,0,1,0,0,4,"3(1),0(0),0(0),1(0),0(0),0(0),0(0),0(0),x(0)",戸郷（8勝3敗）,高橋（6勝2敗）,大勢（24セ）,https://npb.jp/scores/2022/0705/g-s-13/
2022,2022年7月5日（火）,火,0,ZOZOマリン,2時間57分,千葉ロッテマリーンズ,北海道日本ハムファイターズ,2,1,7,4,0,1,1,1,2,佐藤都4号（7回ソロポンセ）,野村5号（2回ソロ本前）,1,1,1,0,1,0,7,"0(0),0(1),0(0),0(0),0(0),0(0),1(0),0(0),0(0),1x(0)",ゲレーロ（3勝2敗）,ロドリゲス（0勝1敗）,,https://npb.jp/scores/2022/0705/m-f-10/
2022,2022年7月6日（水）,水,0,京セラD大阪,4時間16分,オリックス・バファローズ,埼玉西武ライオンズ,4,5,11,13,1,0,2,1,3,杉本10号（2回ソロ平井）、吉田正8号（8回2ラン平良）,山川25号（6回ソロK-鈴木）,0,1,1,0,1,1,11,"0(0),1(0),0(0),0(1),0(0),1(1),0(1),2(1),0(0),0(0),0(1)",佐々木（2勝0敗）,近藤（1勝2敗）,,https://npb.jp/scores/2022/0706/b-l-14/
2022,2022年7月6日（水）,水,0,横　浜,2時間50分,横浜DeNAベイスターズ,中日ドラゴンズ,3,1,7,6,1,1,0,0,0,,,1,2,0,1,0,0,3,"3(0),0(0),0(1),0(0),0(0),0(0),0(0),0(0),x(0)",大貫（6勝3敗）,小笠原（3勝6敗）,山﨑（17セ）,https://npb.jp/scores/2022/0706/db-d-09/
2022,2022年7月6日（水）,水,0,東京ドーム,4時間2分,読売ジャイアンツ,東京ヤクルトスワローズ,4,3,10,9,0,0,3,0,3,中田8号（2回ソロ小川）、大城6号（4回ソロ小川）、岡本和21号（5回ソロ小川）,,1,1,0,0,1,0,8,"0(0),1(0),0(1),1(0),1(0),0(0),0(0),0(2),0(0),1x(0)",鍬原（2勝1敗）,田口（0勝1敗）,,https://npb.jp/scores/2022/0706/g-s-14/
