年度,日付,曜日,週末/祝日,球場,試合時間,ホーム球団,ビジター球団,ホーム得点,ビジター得点,ホーム安打,ビジター安打,ホーム失策,ビジター失策,ホームラン_ホーム,ホームラン_ビジター,ホームラン合計,HR詳細_ホーム,HR詳細_ビジター,ホーム勝利,得点差,逆転あり,サヨナラ,延長戦,リード変化回数,最終得点イニング,イニング別得点,勝利投手,敗戦投手,セーブ投手,URL
2022,2022年5月20日（金）,金,0,楽天生命パーク,3時間1分,東北楽天ゴールデンイーグルス,オリックス・バファローズ,0,1,8,8,0,0,0,1,1,,大城2号（3回ソロ瀧中）,0,1,0,0,0,0,3,"0(0),0(0),0(1),0(0),0(0),0(0),0(0),0(0),0(0)",田嶋（1勝2敗）,瀧中（1勝3敗）,平野佳（13セ）,https://npb.jp/scores/2022/0520/e-b-07/
2022,2022年5月20日（金）,金,0,札幌ドーム,3時間3分,北海道日本ハムファイターズ,埼玉西武ライオンズ,5,3,9,9,0,0,0,0,0,,,1,2,1,1,0,1,8,"0(2),1(0),0(0),0(0),0(0),0(0),4(0),0(1),x(0)",伊藤（5勝3敗）,髙橋光成（4勝3敗）,北山（5セ）,https://npb.jp/scores/2022/0520/f-l-09/
2022,2022年5月20日（金）,金,0,PayPayドーム,3時間35分,福岡ソフトバンクホークス,千葉ロッテマリーンズ,1,8,6,13,0,0,0,1,1,,佐藤都1号（9回ソロ笠谷）,0,7,0,0,0,0,9,"0(2),0(0),0(2),0(0),0(0),1(0),0(0),0(3),0(1)",佐々木朗（5勝0敗）,千賀（3勝2敗）,,https://npb.jp/scores/2022/0520/h-m-09/
2022,2022年5月20日（金）,金,0,甲子園,5時間3分,阪神タイガース,読売ジャイアンツ,2,6,6,13,1,1,1,0,1,大山7号（9回2ランデラロサ）,,0,4,0,0,1,0,12,"0(0),0(0),0(0),0(0),0(0),0(2),0(0),0(0),2(0),0(0),0(0),0(4)",平内（3勝0敗）,アルカンタラ（1勝1敗）,,https://npb.jp/scores/2022/0520/t-g-10/
2022,2022年5月21日（土）,土,1,マツダスタジアム,2時間59分,広島東洋カープ,中日ドラゴンズ,10,1,16,8,0,1,2,0,2,西川5号（2回3ラン岡野）、磯村1号（2回2ラン岡野）,,1,9,0,1,0,0,8,"3(0),6(0),0(0),0(0),0(0),1(0),0(0),0(1),x(0)",森下（4勝1敗）,岡野（1勝2敗）,,https://npb.jp/scores/2022/0521/c-d-10/
2022,2022年5月21日（土）,土,1,横　浜,3時間20分,横浜DeNAベイスターズ,東京ヤクルトスワローズ,2,9,8,9,0,0,0,3,3,,塩見5号（1回ソロ上茶谷）、長岡2号（2回2ラン上茶谷）、村上13号（9回3ラン平田）,0,7,0,0,0,0,9,"0(1),2(3),0(0),0(0),0(0),0(0),0(0),0(0),0(5)",原（4勝2敗）,上茶谷（2勝4敗）,,https://npb.jp/scores/2022/0521/db-s-08/
2022,2022年5月21日（土）,土,1,楽天生命パーク,3時間28分,東北楽天ゴールデンイーグルス,オリックス・バファローズ,0,6,4,12,0,0,0,2,2,,杉本2号（4回ソロ早川）、マッカーシー1号（8回2ラン髙田萌）,0,6,0,0,0,0,8,"0(0),0(2),0(1),0(1),0(0),0(0),0(0),0(2),0(0)",山本（5勝2敗）,早川（3勝2敗）,,https://npb.jp/scores/2022/0521/e-b-08/
2022,2022年5月21日（土）,土,1,札幌ドーム,3時間3分,北海道日本ハムファイターズ,埼玉西武ライオンズ,4,0,10,2,1,1,1,0,1,宇佐見3号（2回2ラン内海）,,1,4,0,1,0,0,7,"1(0),2(0),0(0),0(0),0(0),0(0),1(0),0(0),x(0)",上沢（3勝4敗）,内海（0勝1敗）,,https://npb.jp/scores/2022/0521/f-l-10/
2022,2022年5月21日（土）,土,1,PayPayドーム,3時間47分,福岡ソフトバンクホークス,千葉ロッテマリーンズ,2,4,9,10,1,0,0,1,1,,マーティン4号（8回2ラン又吉）,0,2,1,0,0,2,8,"0(1),1(0),0(0),0(0),1(0),0(1),0(0),0(2),0(0)",東條（2勝1敗）,又吉（1勝1敗）,益田（8セ）,https://npb.jp/scores/2022/0521/h-m-10/
2022,2022年5月21日（土）,土,1,甲子園,3時間23分,阪神タイガース,読売ジャイアンツ,2,1,7,6,0,1,0,0,0,,,1,1,0,1,0,0,9,"1(0),1(0),0(0),0(0),0(0),0(0),0(0),0(0),x(1)",ウィルカーソン（3勝2敗）,シューメーカー（1勝3敗）,岩崎（6セ）,https://npb.jp/scores/2022/0521/t-g-11/
2022,2022年5月22日（日）,日,1,マツダスタジアム,2時間40分,広島東洋カープ,中日ドラゴンズ,1,0,3,5,0,0,1,0,1,堂林3号（6回ソロ柳）,,1,1,0,1,0,0,6,"0(0),0(0),0(0),0(0),0(0),1(0),0(0),0(0),x(0)",アンダーソン（2勝0敗）,柳（4勝2敗）,栗林（8セ）,https://npb.jp/scores/2022/0522/c-d-11/
2022,2022年5月22日（日）,日,1,横　浜,3時間4分,横浜DeNAベイスターズ,東京ヤクルトスワローズ,3,5,11,8,0,0,0,0,0,,,0,2,0,0,0,0,7,"1(2),0(1),0(0),0(0),1(1),0(1),1(0),0(0),0(0)",木澤（2勝0敗）,有吉（0勝1敗）,マクガフ（13セ）,https://npb.jp/scores/2022/0522/db-s-09/
2022,2022年5月22日（日）,日,1,楽天生命パーク,3時間,東北楽天ゴールデンイーグルス,オリックス・バファローズ,1,6,5,11,0,2,0,1,1,,頓宮2号（6回2ラン則本）,0,5,0,0,0,0,6,"0(2),0(0),0(2),0(0),0(0),1(2),0(0),0(0),0(0)",宮城（3勝2敗）,則本（2勝2敗）,,https://npb.jp/scores/2022/0522/e-b-09/
2022,2022年5月22日（日）,日,1,札幌ドーム,2時間50分,北海道日本ハムファイターズ,埼玉西武ライオンズ,0,3,3,10,1,1,0,0,0,,,0,3,0,0,0,0,8,"0(2),0(0),0(0),0(0),0(0),0(0),0(0),0(1),0(0)",エンス（3勝2敗）,金子千尋（1勝2敗）,増田（10セ）,https://npb.jp/scores/2022/0522/f-l-11/
2022,2022年5月22日（日）,日,1,PayPayドーム,2時間36分,福岡ソフトバンクホークス,千葉ロッテマリーンズ,3,2,9,4,0,0,1,1,2,柳田7号（4回2ランロメロ）,レアード6号（7回ソロ津森）,1,1,0,1,0,0,7,"0(0),0(0),0(0),3(0),0(0),0(1),0(1),0(0),x(0)",和田（1勝1敗）,ロメロ（2勝4敗）,モイネロ（7セ）,https://npb.jp/scores/2022/0522/h-m-11/
2022,2022年5月22日（日）,日,1,甲子園,2時間42分,阪神タイガース,読売ジャイアンツ,4,0,7,8,0,2,0,0,0,,,1,4,0,1,0,0,2,"0(0),4(0),0(0),0(0),0(0),0(0),0(0),0(0),x(0)",伊藤将（1勝1敗）,髙橋（1勝4敗）,,https://npb.jp/scores/2022/0522/t-g-12/
2022,2022年5月24日（火）,火,0,マツダスタジアム,2時間55分,広島東洋カープ,千葉ロッテマリーンズ,0,7,5,5,0,1,0,1,1,,中村奨2号（8回3ラン松本）,0,7,0,0,0,0,9,"0(1),0(0),0(0),0(0),0(1),0(1),0(0),0(3),0(1)",石川（4勝2敗）,床田（4勝3敗）,,https://npb.jp/scores/2022/0524/c-m-01/
2022,2022年5月24日（火）,火,0,バンテリンドーム,3時間34分,中日ドラゴンズ,埼玉西武ライオンズ,5,8,8,13,1,0,1,1,2,鵜飼4号（3回ソロ佐藤）,呉2号（7回2ラン田島）,0,3,0,0,0,0,8,"0(3),1(1),2(0),0(2),0(0),0(0),0(2),2(0),0(0)",本田（1勝0敗）,小笠原（2勝3敗）,増田（11セ）,https://npb.jp/scores/2022/0524/d-l-01/
2022,2022年5月24日（火）,火,0,横　浜,3時間8分,横浜DeNAベイスターズ,福岡ソフトバンクホークス,4,3,12,7,0,0,1,0,1,佐野3号（3回ソロ石川）,,1,1,1,1,0,1,8,"0(2),0(0),1(0),1(0),0(0),1(0),0(1),1(0),x(0)",エスコバー（1勝0敗）,又吉（1勝2敗）,山﨑（7セ）,https://npb.jp/scores/2022/0524/db-h-01/
2022,2022年5月24日（火）,火,0,東京ドーム,2時間42分,読売ジャイアンツ,オリックス・バファローズ,4,2,5,8,0,0,1,0,1,岡本和13号（4回2ラン山岡）,,1,2,0,1,0,0,8,"0(0),0(0),0(0),2(0),0(0),0(0),0(2),2(0),x(0)",高梨（1勝0敗）,ビドル（3勝2敗）,大勢（17セ）,https://npb.jp/scores/2022/0524/g-b-01/
